"id","항목","표시형식","처리방법","우선순위","참조방법","참조메모","선택목록","공고관리 표시","상세정보입력","서버공고일치","확정메모"
"1","공사명","","수집","문서곡괭이","","","","true","true","Y",""
"2","공고번호","","수집","문서곡괭이","","","","true","true","Y",""
"3","종목","","수집","문서곡괭이","","","","true","true","Y",""
"4","대업종","","","","","","","false","true","Y",""
"5","기초금액","###,###,###","수집","문서곡괭이","","","","true","true","Y",""
"6","추정가격","###,###,###","수집","문서곡괭이","","","","true","true","Y",""
"7","투찰율","##.###%","수집","문서곡괭이","","","","true","true","Y",""
"8","A값","###,###,###","수집","LLM","","","","true","true","Y",""
"9","순공사원가","###,###,###","수집","문서곡괭이","","","","true","true","Y",""
"10","발주처","","수집","","","","","true","true","Y",""
"11","지역제한","","수집","문서곡괭이","","","","true","true","Y",""
"12","현설일","yy-mm-dd h:mm","수집","문서곡괭이","","","","true","true","Y",""
"13","등록마감일","yy-mm-dd h:mm","수집","문서곡괭이","","","","true","true","Y",""
"14","협정마감일","yy-mm-dd h:mm","수집","문서곡괭이","","","","true","true","Y",""
"15","투찰시작일","yy-mm-dd h:mm","수집","문서곡괭이","","","","true","true","Y",""
"16","투찰마감일","yy-mm-dd h:mm","수집","문서곡괭이","","","","true","true","Y",""
"17","입찰일","yy-mm-dd h:mm","수집","문서곡괭이","","","","true","true","Y",""
"18","입력일","yy-mm-dd","수집","문서곡괭이","","","","true","true","Y","시간은 표시하지 않고 날짜까지만 표시한다."
"19","공사현장","입력값은 설정의 마스터데이터의 지역탭과 일치하는 값","계산","문서곡괭이","","","","","true","Y",""
"20","특수실적_공통","","계산","문서곡괭이","","","","","true","Y",""
"21","특수조건0","","수집","문서곡괭이","","","","true","true","N","서버 원본에는 없고 후처리/검증용 컬럼으로 유지한다."
"22","특수조건1","","수집","문서곡괭이","","","","true","true","N","서버 원본에는 없고 후처리/검증용 컬럼으로 유지한다."
"23","특수조건2","","수집","문서곡괭이","","","","true","true","N","서버 원본에는 없고 후처리/검증용 컬럼으로 유지한다."
"24","특수조건3","","수집","문서곡괭이","","","","true","true","N","서버 원본에는 없고 후처리/검증용 컬럼으로 유지한다."
"25","참가자격","","수집","문서곡괭이","","","","true","true","Y",""
"26","공고확인_내용","","계산","","","","","","true","Y",""
