순번,항목,추정입력형식,권장표시형식,추정이유,원본타입분포,전체건수,빈값수,빈값비율,고유값수,예시값,상위값
1,idx,code_or_identifier,@,식별자/코드 계열은 문자열 보존,string:3356,3356,0,0.0,3356,1245550 | 1270919 | 1243567 | 1257435 | 1257436,1245550(1) | 1270919(1) | 1243567(1) | 1257435(1) | 1257436(1)
2,makeTime,datetime,yyyy-mm-dd h:mm,대부분 YYYY-MM-DD HH:mm:ss,string:3356,3356,0,0.0,573,2026-04-20 15:22:22 | 2026-05-16 17:16:50 | 2026-04-17 09:47:50 | 2026-04-30 14:05:18 | 2026-04-30 14:16:56,2026-05-22 11:32:14(348) | 2026-05-21 12:02:23(277) | 2026-05-20 12:12:25(204) | 2026-05-22 08:47:25(156) | 2026-05-21 08:12:08(112)
3,editTime,datetime,yyyy-mm-dd h:mm,대부분 YYYY-MM-DD HH:mm:ss,string:3356,3356,0,0.0,690,2026-04-20 15:23:57 | 2026-05-16 17:16:50 | 2026-05-20 02:04:46 | 2026-04-30 14:07:11 | 2026-04-30 14:18:36,2026-05-22 11:32:14(321) | 2026-05-21 12:02:23(265) | 2026-05-20 12:12:25(197) | 2026-05-22 08:47:25(135) | 2026-05-21 08:12:08(101)
4,gongNumKey,code_or_identifier,@,식별자/코드 계열은 문자열 보존,string:3356,3356,0,0.0,3356,R26BK01476541-0 | 2026051506-0 | R26BK01468463-0 | R26BK01495003-0 | R26BK01494986-0,R26BK01476541-0(1) | 2026051506-0(1) | R26BK01468463-0(1) | R26BK01495003-0(1) | R26BK01494986-0(1)
5,공사명,text,,기본 문자열/혼합값,string:3356,3356,0,0.0,3331,2026 워치타워 전기 통신 소방 공사 협력업체 모집공고 | [기초][A값][순공사]공급관리소 조경제거 및 쇄석포설공사(본부권 1차) | [협정]온수 하수처리시설 확충공사(증설) 토목·건축·기계공사 | [RISE] 사업 전용시설 구축을 위한 구.약대실험동 환경개선 공사(통신) | [RISE] 사업 전용시설 구축을 위한 구.약대실험동 환경개선 공사(전기),2026년 스마트팜ICT융복합 확산사업(3) | 시공자 선정 입찰공고(3) | [PQ] 송도 공공하수처리시설 증설사업(3단계) [협정](3) | [PQ] 새만금 농업용수 공급공사(2공구) [협정](3) | [수의](26-작1) 사단 GP 침상형 생활관 개선공사(기계)(2)
6,공고번호,code_or_identifier,@,식별자/코드 계열은 문자열 보존,string:3356,3356,0,0.0,3352,R26BK01476541-000 | 2026051506 | R26BK01468463-000 | R26BK01495003-000 | R26BK01494986-000,R26BK01522042-000(2) | R26BK01531315-000(2) | R26BK01527818-000(2) | R26BK01533638-000(2) | R26BK01476541-000(1)
7,앞_공고번호,code_or_identifier,@,식별자/코드 계열은 문자열 보존,string:3356,3356,0,0.0,3354,R26BK01476541 | 2026051506 | R26BK01468463 | R26BK01495003 | R26BK01494986,R26BK01522042(2) | R26BK01527818(2) | R26BK01476541(1) | 2026051506(1) | R26BK01468463(1)
8,공고번호_차수,integer,0,대부분 정수 문자열,string:3356,3356,0,0.0,8,0 | 1 | 2 | 5 | -2,0(3183) | 1(138) | 2(29) | 4(2) | 5(1)
9,종목,text,,기본 문자열/혼합값,string:3356,3356,23,0.0069,281,"전기/전문소방/통신 | 지반조성포장 | (토목,산업환경설비)/(토건,산업환경설비) | 통신 | 전기",전기(424) | 지반조성포장(238) | 건축/토건(198) | 철콘(189) | 조경식재시설물(179)
10,대업종,text,,기본 문자열/혼합값,"null:1959, string:1397",3356,1959,0.5837,61,지반조성포장 | 금속창호지붕/실내건축 | 도장습식방수석공 | 기계가스설비 | 철콘,지반조성포장(235) | 조경식재시설물(200) | 도장습식방수석공(172) | 철콘(152) | 기계가스설비(144)
