순번,항목,서버_추정입력형식,서버_권장표시형식,서버_빈값비율,서버_예시값,엑셀_존재,엑셀_빈값처리,엑셀_빈값처리후,엑셀_표시형식,CSV_존재,CSV_표시형식,CSV_표시형식검토,CSV_처리방법,CSV_우선순위,CSV_참조방법,CSV_공고관리표시,CSV_상세정보입력,사용자확정_표시형식,사용자확정_메모,JSON_존재,JSON_처리방법,JSON_우선순위,JSON_표시형식,비교상태_엑셀,비교상태_CSV,비교상태_JSON
1,idx,code_or_identifier,@,0.0,1245550 | 1270919 | 1243567 | 1257435 | 1257436,N,,,,Y,,미지정,,,,false,false,,,Y,,,,서버만 있음,일치,일치
2,makeTime,datetime,yyyy-mm-dd h:mm,0.0,2026-04-20 15:22:22 | 2026-05-16 17:16:50 | 2026-04-17 09:47:50 | 2026-04-30 14:05:18 | 2026-04-30 14:16:56,N,,,,Y,,미지정,,,,false,false,,,Y,,,,서버만 있음,일치,일치
3,editTime,datetime,yyyy-mm-dd h:mm,0.0,2026-04-20 15:23:57 | 2026-05-16 17:16:50 | 2026-05-20 02:04:46 | 2026-04-30 14:07:11 | 2026-04-30 14:18:36,N,,,,Y,,미지정,,,,false,false,,,Y,,,,서버만 있음,일치,일치
4,gongNumKey,code_or_identifier,@,0.0,R26BK01476541-0 | 2026051506-0 | R26BK01468463-0 | R26BK01495003-0 | R26BK01494986-0,N,,,,Y,,미지정,,,,false,false,,,Y,,,,서버만 있음,일치,일치
5,공사명,text,,0.0,2026 워치타워 전기 통신 소방 공사 협력업체 모집공고 | [기초][A값][순공사]공급관리소 조경제거 및 쇄석포설공사(본부권 1차) | [협정]온수 하수처리시설 확충공사(증설) 토목·건축·기계공사 | [RISE] 사업 전용시설 구축을 위한 구.약대실험동 환경개선 공사(통신) | [RISE] 사업 전용시설 구축을 위한 구.약대실험동 환경개선 공사(전기),N,,,,Y,,미지정,수집,문서곡괭이,,true,true,,,Y,수집,문서곡괭이,,서버만 있음,일치,일치
6,공고번호,code_or_identifier,@,0.0,R26BK01476541-000 | 2026051506 | R26BK01468463-000 | R26BK01495003-000 | R26BK01494986-000,N,,,,Y,,미지정,수집,문서곡괭이,,true,true,,,Y,수집,문서곡괭이,,서버만 있음,일치,일치
7,앞_공고번호,code_or_identifier,@,0.0,R26BK01476541 | 2026051506 | R26BK01468463 | R26BK01495003 | R26BK01494986,N,,,,Y,,미지정,계산,,,,true,,,Y,계산,,,서버만 있음,일치,일치
8,공고번호_차수,integer,0,0.0,0 | 1 | 2 | 5 | -2,N,,,,Y,,미지정,계산,문서곡괭이,,,true,,,Y,계산,문서곡괭이,,서버만 있음,일치,일치
9,종목,text,,0.0069,"전기/전문소방/통신 | 지반조성포장 | (토목,산업환경설비)/(토건,산업환경설비) | 통신 | 전기",Y,—,없음,,Y,,미지정,수집,문서곡괭이,,true,true,,,Y,수집,"[""파서"", ""AI"", ""API""]",,일치,일치,일치
10,대업종,text,,0.5837,지반조성포장 | 금속창호지붕/실내건축 | 도장습식방수석공 | 기계가스설비 | 철콘,N,,,,Y,,미지정,,,,false,true,,,Y,,,,서버만 있음,일치,일치
11,업종코드,code_or_identifier,@,1.0,,N,,,,Y,,미지정,수집,문서곡괭이,,false,false,,,Y,,,,서버만 있음,일치,일치
12,기초금액,money_integer,"#,##0",0.0,0 | 78784200 | 6104901000 | 124784000 | 860390000,N,,,,Y,"###,###,###",일치,수집,문서곡괭이,,true,true,,,Y,수집,,"###,###,###",서버만 있음,일치,일치
13,추정가격,money_integer,"#,##0",0.0,0 | 71622000 | 5549910000 | 113440000 | 782172727,N,,,,Y,"###,###,###",일치,수집,문서곡괭이,,true,true,,,Y,수집,,"###,###,###",서버만 있음,일치,일치
14,투찰율,rate_decimal,0.###,0.0,0.87745 | 0.89745 | 0.86245 | 0 | 0.88745,Y,,없음,##.###%,Y,##.###%,일치,수집,문서곡괭이,,true,true,,,Y,수집,문서곡괭이,##.###%,일치,일치,일치
15,A값,money_integer,"#,##0",0.0,0 | 3309596 | 443521018 | 172855691 | 28296892,N,,,,Y,"###,###,###",일치,수집,LLM,,true,true,,,Y,수집,LLM,"###,###,###",서버만 있음,일치,일치
16,순공사원가,money_integer,"#,##0",0.0,0 | 65643299 | 5088284048 | 2237202830 | 359780777,N,,,,Y,"###,###,###",일치,수집,문서곡괭이,,true,true,,,Y,수집,,"###,###,###",서버만 있음,일치,일치
17,발주처,text,,0.0,(사)워치타워성서책자협회 | 한국가스공사 부산·경남지역본부 | 한국농어촌공사 경기지역본부 강화옹진지사 | 영남대학교 | 함평농업협동조합,N,,,,Y,,미지정,수집,,,true,true,,,Y,수집,,,서버만 있음,일치,일치
18,발주처코드,code_or_identifier,@,0.4169,B551317 | D152530 | B553686 | B557073 | B555525,Y,—,없음,,Y,,미지정,계산,문서곡괭이,"{""type"":""lookup"",""table"":""발주처코드"",""key_col"":""발주처명"",""key_value"":""발주처"",""return_col"":""코드""}",,true,,,Y,계산,문서곡괭이,,일치,일치,일치
19,상위_발주처코드,code_or_identifier,@,0.427,B000000 | 6460000 | 6110000 | 1290000 | 7150000,Y,—,없음,,Y,,미지정,계산,문서곡괭이,"{""type"":""lookup"",""table"":""발주처코드"",""key_col"":""발주처명"",""key_value"":""발주처"",""return_col"":""상위코드""}",,true,,,Y,계산,문서곡괭이,,일치,일치,일치
20,예가_상한,money_decimal,"#,##0",0.0,0 | 2.5 | 2 | 3 | 5,Y,,없음,,Y,,미지정,계산,문서곡괭이,,,true,,,Y,계산,문서곡괭이,,일치,일치,일치
