"코드","발주처명","상위코드"
"GGGGG","포항자이 (입대의)","GGGGG"
"GGGGG","놀뫼타운 (입대의)","GGGGG"
"GGGGG","대우2차 (입대의)","GGGGG"
"GGGGG","신천자이 (입대의)","GGGGG"
"GGGGG","신한토탈 (입대의)","GGGGG"
"GGGGG","동부2차 (입대의)","GGGGG"
"GGGGG","대치선경 (입대의)","GGGGG"
"GGGGG","하나타운 (입대의)","GGGGG"
"GGGGG","아르미나 (입대의)","GGGGG"
"GGGGG","신한1차 (입대의)","GGGGG"
"GGGGG","성남자이 (입대의)","GGGGG"
"GGGGG","우림필유 (입대의)","GGGGG"
"GGGGG","노변다숲 (입대의)","GGGGG"
"GGGGG","은뜰마을 (입대의)","GGGGG"
"GGGGG","동산맨션 (입대의)","GGGGG"
"GGGGG","강산아파트 (입대의)","GGGGG"
"GGGGG","동신아파트 (입대의)","GGGGG"
"GGGGG","오션브릿지 (입대의)","GGGGG"
"GGGGG","세아아파트 (입대의)","GGGGG"
"GGGGG","한밭아파트 (입대의)","GGGGG"
"GGGGG","후곡3현대 (입대의)","GGGGG"
"GGGGG","에코하이츠 (입대의)","GGGGG"
"GGGGG","힐데스하임 (입대의)","GGGGG"
"GGGGG","청호하이츠 (입대의)","GGGGG"
"GGGGG","누리아파트 (입대의)","GGGGG"
"GGGGG","웰리치시지 (입대의)","GGGGG"
"GGGGG","절영아파트 (입대의)","GGGGG"
"GGGGG","한빛아파트 (입대의)","GGGGG"
"GGGGG","동헌아파트 (입대의)","GGGGG"
"GGGGG","현대아파트 (입대의)","GGGGG"
"GGGGG","포은아파트 (입대의)","GGGGG"
"GGGGG","다운아파트 (입대의)","GGGGG"
"GGGGG","라인아파트 (입대의)","GGGGG"
"GGGGG","극동아파트 (입대의)","GGGGG"
"GGGGG","충일아파트 (입대의)","GGGGG"
"GGGGG","새롬아파트 (입대의)","GGGGG"
"GGGGG","럭키아파트 (입대의)","GGGGG"
"GGGGG","대경빌라트 (입대의)","GGGGG"
"GGGGG","백송8단지 (입대의)","GGGGG"
"GGGGG","낙원아파트 (입대의)","GGGGG"
"GGGGG","신안1단지 (입대의)","GGGGG"
"GGGGG","신대팰리스 (입대의)","GGGGG"
"GGGGG","기비골마을 (입대의)","GGGGG"
"GGGGG","영동힐타운 (입대의)","GGGGG"
"GGGGG","신명아파트 (입대의)","GGGGG"
"GGGGG","한일아파트 (입대의)","GGGGG"
"GGGGG","은하수벽산 (입대의)","GGGGG"
"GGGGG","한주아파트 (입대의)","GGGGG"
"GGGGG","보람아파트 (입대의)","GGGGG"
"GGGGG","개나리맨션 (입대의)","GGGGG"
"GGGGG","우방힐타운 (입대의)","GGGGG"
"GGGGG","한솔그린빌 (입대의)","GGGGG"
"GGGGG","대우아파트 (입대의)","GGGGG"
"GGGGG","갈마아파트 (입대의)","GGGGG"
"GGGGG","나래아파트 (입대의)","GGGGG"
"GGGGG","광원아파트 (입대의)","GGGGG"
"GGGGG","문정래미안 (입대의)","GGGGG"
"GGGGG","성원아파트 (입대의)","GGGGG"
"GGGGG","황상2주공 (입대의)","GGGGG"
"GGGGG","포레나송파 (입대의)","GGGGG"
"GGGGG","한남아파트 (입대의)","GGGGG"
"GGGGG","백송6단지 (입대의)","GGGGG"
"GGGGG","현대슈퍼빌 (입대의)","GGGGG"
"GGGGG","청송아파트 (입대의)","GGGGG"
"GGGGG","대곡역금강 (입대의)","GGGGG"
"GGGGG","한성아파트 (입대의)","GGGGG"
"GGGGG","쌍용아파트 (입대의)","GGGGG"
"GGGGG","유안아파트 (입대의)","GGGGG"
"GGGGG","대명파크맨션 (입대의)","GGGGG"
"GGGGG","송산푸르지오 (입대의)","GGGGG"
"GGGGG","미도파아파트 (입대의)","GGGGG"
"GGGGG","거여현대3차 (입대의)","GGGGG"
"GGGGG","더샵스타시티 (입대의)","GGGGG"
"GGGGG","덕산타운5차 (입대의)","GGGGG"
"GGGGG","본리롯데캐슬 (입대의)","GGGGG"
"GGGGG","삼익목화1차 (입대의)","GGGGG"
"GGGGG","상대한보타운 (입대의)","GGGGG"
"GGGGG","코오롱아파트 (입대의)","GGGGG"
"GGGGG","덕포신익타운 (입대의)","GGGGG"
"GGGGG","영등제일맨션 (입대의)","GGGGG"
"GGGGG","신가1차호반 (입대의)","GGGGG"
"GGGGG","부민스위트빌 (입대의)","GGGGG"
"GGGGG","산호녹원맨션 (입대의)","GGGGG"
"GGGGG","신촌그랑자이 (입대의)","GGGGG"
"GGGGG","보성상아맨션 (입대의)","GGGGG"
"GGGGG","센트럴코아루 (입대의)","GGGGG"
"GGGGG","삼우그린타운 (입대의)","GGGGG"
"GGGGG","평택이충현대 (입대의)","GGGGG"
"GGGGG","사직쌍용예가 (입대의)","GGGGG"
"GGGGG","신호윌더하임 (입대의)","GGGGG"
"GGGGG","한주한보타운 (입대의)","GGGGG"
"GGGGG","신동아아파트 (입대의)","GGGGG"
"GGGGG","화진금봉3차 (입대의)","GGGGG"
"GGGGG","신촌푸르지오 (입대의)","GGGGG"
"GGGGG","성지리벨루스 (입대의)","GGGGG"
"GGGGG","복현푸르지오 (입대의)","GGGGG"
"GGGGG","대연롯데캐슬 (입대의)","GGGGG"
"GGGGG","우현청구타운 (입대의)","GGGGG"
"GGGGG","범어쌍용예가 (입대의)","GGGGG"
"GGGGG","래미안라센트 (입대의)","GGGGG"
"GGGGG","상계한신1차 (입대의)","GGGGG"
"GGGGG","성안금호타운 (입대의)","GGGGG"
"GGGGG","윤성1차타운 (입대의)","GGGGG"
"GGGGG","대잠그린파크 (입대의)","GGGGG"
"GGGGG","화봉휴먼시아 (입대의)","GGGGG"
"GGGGG","용지아이파크 (입대의)","GGGGG"
"GGGGG","사천청구타운 (입대의)","GGGGG"
"GGGGG","도래울파크뷰 (입대의)","GGGGG"
"GGGGG","대우그린타워 (입대의)","GGGGG"
"GGGGG","용현금호타운 (입대의)","GGGGG"
"GGGGG","잠실트리지움 (입대의)","GGGGG"
"GGGGG","큰마을아파트 (입대의)","GGGGG"
"GGGGG","동서그린맨션 (입대의)","GGGGG"
"GGGGG","망원1차대림 (입대의)","GGGGG"
"GGGGG","개금아이파크 (입대의)","GGGGG"
"GGGGG","초전청구타운 (입대의)","GGGGG"
"GGGGG","벽산강변타운 (입대의)","GGGGG"
"GGGGG","상인서한타운 (입대의)","GGGGG"
"GGGGG","파랑새아파트 (입대의)","GGGGG"
"GGGGG","휘경미소지움 (입대의)","GGGGG"
"GGGGG","금곡화목타운 (입대의)","GGGGG"
"GGGGG","고척경남2차 (입대의)","GGGGG"
"GGGGG","피오레아파트 (입대의)","GGGGG"
"GGGGG","옥계대백타운 (입대의)","GGGGG"
"GGGGG","캐슬골드파크 (입대의)","GGGGG"
"GGGGG","센트럴파크원 (입대의)","GGGGG"
"GGGGG","한웅드리머스 (입대의)","GGGGG"
"GGGGG","춘광한빛타운 (입대의)","GGGGG"
"GGGGG","상록수아파트 (입대의)","GGGGG"
"GGGGG","장백장미타워 (입대의)","GGGGG"
"GGGGG","농소삼우타운 (입대의)","GGGGG"
"GGGGG","보성황실타운 (입대의)","GGGGG"
"GGGGG","우남퍼스트빌 (입대의)","GGGGG"
"GGGGG","산내들아파트 (입대의)","GGGGG"
"GGGGG","리센츠아파트 (입대의)","GGGGG"
"GGGGG","태완노블리안 (입대의)","GGGGG"
"GGGGG","월성푸르지오 (입대의)","GGGGG"
"GGGGG","명지더웨스턴 (입대의)","GGGGG"
"GGGGG","상계17단지 (입대의)","GGGGG"
"GGGGG","하늘빛아파트 (입대의)","GGGGG"
"GGGGG","장성푸르지오 (입대의)","GGGGG"
"GGGGG","동서리치모아 (입대의)","GGGGG"
"GGGGG","충효에덴타운 (입대의)","GGGGG"
"GGGGG","거송보라맨션 (입대의)","GGGGG"
"GGGGG","한아름아파트 (입대의)","GGGGG"
"GGGGG","위례더힐55 (입대의)","GGGGG"
"GGGGG","동서변리벤빌 (입대의)","GGGGG"
"GGGGG","우방강촌1차 (입대의)","GGGGG"
"GGGGG","해와루아파트 (입대의)","GGGGG"
"GGGGG","금광베네스타 (입대의)","GGGGG"
"GGGGG","대동그린파크 (입대의)","GGGGG"
"GGGGG","엑스포아파트 (입대의)","GGGGG"
"GGGGG","더샵센텀스타 (입대의)","GGGGG"
"GGGGG","포레스트 힐 (입대의)","GGGGG"
"GGGGG","오성빌라맨션 (입대의)","GGGGG"
"GGGGG","상주우방타운 (입대의)","GGGGG"
"GGGGG","늘푸른아파트 (입대의)","GGGGG"
"GGGGG","경남아너스빌 (입대의)","GGGGG"
"GGGGG","윤성2차타운 (입대의)","GGGGG"
"GGGGG","보성은하타운 (입대의)","GGGGG"
"GGGGG","목동현대1차 (입대의)","GGGGG"
"GGGGG","장유쌍용예가 (입대의)","GGGGG"
"GGGGG","개신푸르지오 (입대의)","GGGGG"
"GGGGG","궁의문아파트 (입대의)","GGGGG"
"GGGGG","시지청솔타운 (입대의)","GGGGG"
"GGGGG","소사두산삼성 (입대의)","GGGGG"
"GGGGG","홍제인왕산현대 (입대의)","GGGGG"
"GGGGG","학성파크디아채 (입대의)","GGGGG"
"GGGGG","세마효성아파트 (입대의)","GGGGG"
"GGGGG","행신동문아파트 (입대의)","GGGGG"
"GGGGG","연산경남아파트 (입대의)","GGGGG"
"GGGGG","로얄동아아파트 (입대의)","GGGGG"
"GGGGG","남천엑슬루타워 (입대의)","GGGGG"
"GGGGG","우림필유아파트 (입대의)","GGGGG"
"GGGGG","양주현대아파트 (입대의)","GGGGG"
"GGGGG","서울산두산위브 (입대의)","GGGGG"
"GGGGG","일산자이4단지 (입대의)","GGGGG"
"GGGGG","아산서진아파트 (입대의)","GGGGG"
"GGGGG","우만주공4단지 (입대의)","GGGGG"
"GGGGG","나운삼성아파트 (입대의)","GGGGG"
"GGGGG","풍암현대아파트 (입대의)","GGGGG"
"GGGGG","화정우미아파트 (입대의)","GGGGG"
"GGGGG","화곡초록아파트 (입대의)","GGGGG"
"GGGGG","시화금강아파트 (입대의)","GGGGG"
"GGGGG","마포현대아파트 (입대의)","GGGGG"
"GGGGG","병점역에듀포레 (입대의)","GGGGG"
"GGGGG","속초조양2주공 (입대의)","GGGGG"
"GGGGG","평리동롯데캐슬 (입대의)","GGGGG"
"GGGGG","천상동아아파트 (입대의)","GGGGG"
"GGGGG","정릉성원아파트 (입대의)","GGGGG"
"GGGGG","구월동아아파트 (입대의)","GGGGG"
"GGGGG","원앙마을1단지 (입대의)","GGGGG"
"GGGGG","수진삼부아파트 (입대의)","GGGGG"
"GGGGG","권선벽산아파트 (입대의)","GGGGG"
"GGGGG","원흥4차아파트 (입대의)","GGGGG"
"GGGGG","한화우림아파트 (입대의)","GGGGG"
"GGGGG","가야반도보라빌 (입대의)","GGGGG"
"GGGGG","광양 무등파크 (입대의)","GGGGG"
"GGGGG","문정시영아파트 (입대의)","GGGGG"
"GGGGG","호계효성아파트 (입대의)","GGGGG"
"GGGGG","e편한세상광교 (입대의)","GGGGG"
"GGGGG","노암현대아파트 (입대의)","GGGGG"
"GGGGG","성진힐스아파트 (입대의)","GGGGG"
"GGGGG","성호1차아파트 (입대의)","GGGGG"
"GGGGG","화명동대림타운 (입대의)","GGGGG"
"GGGGG","국제그린아파트 (입대의)","GGGGG"
"GGGGG","파크타운아파트 (입대의)","GGGGG"
"GGGGG","거제더샵아파트 (입대의)","GGGGG"
"GGGGG","일신주공아파트 (입대의)","GGGGG"
"GGGGG","양구경림아파트 (입대의)","GGGGG"
"GGGGG","인창성원아파트 (입대의)","GGGGG"
"GGGGG","한강현대아파트 (입대의)","GGGGG"
"GGGGG","오금대림아파트 (입대의)","GGGGG"
"GGGGG","녹사주공아파트 (입대의)","GGGGG"
"GGGGG","동백우성아파트 (입대의)","GGGGG"
"GGGGG","흰돌서안아파트 (입대의)","GGGGG"
"GGGGG","대우동삼아파트 (입대의)","GGGGG"
"GGGGG","신일강변아파트 (입대의)","GGGGG"
"GGGGG","개봉두산아파트 (입대의)","GGGGG"
"GGGGG","당산한양아파트 (입대의)","GGGGG"
"GGGGG","영덕신일아파트 (입대의)","GGGGG"
"GGGGG","한보라에듀포레 (입대의)","GGGGG"
"GGGGG","신음현대아파트 (입대의)","GGGGG"
"GGGGG","신곡서해아파트 (입대의)","GGGGG"
"GGGGG","감천현대아파트 (입대의)","GGGGG"
"GGGGG","연수영남아파트 (입대의)","GGGGG"
"GGGGG","봇들마을7단지 (입대의)","GGGGG"
"GGGGG","용암건영아파트 (입대의)","GGGGG"
"GGGGG","당진청구아파트 (입대의)","GGGGG"
"GGGGG","세천한라비발디 (입대의)","GGGGG"
"GGGGG","모아엘가아파트 (입대의)","GGGGG"
"GGGGG","초록마을2단지 (입대의)","GGGGG"
"GGGGG","용전푸른아파트 (입대의)","GGGGG"
"GGGGG","덕소벽산아파트 (입대의)","GGGGG"
"GGGGG","석수현대아파트 (입대의)","GGGGG"
"GGGGG","용산데시앙포레 (입대의)","GGGGG"
"GGGGG","서재자이아파트 (입대의)","GGGGG"
"GGGGG","서초자이아파트 (입대의)","GGGGG"
"GGGGG","아이파크삼성동 (입대의)","GGGGG"
"GGGGG","대원효성아파트 (입대의)","GGGGG"
"GGGGG","신길삼환아파트 (입대의)","GGGGG"
"GGGGG","하계청솔아파트 (입대의)","GGGGG"
"GGGGG","이동삼성아파트 (입대의)","GGGGG"
"GGGGG","시흥금강아파트 (입대의)","GGGGG"
"GGGGG","우방신세계타운 (입대의)","GGGGG"
"GGGGG","주은모아아파트 (입대의)","GGGGG"
"GGGGG","창동삼성아파트 (입대의)","GGGGG"
"GGGGG","망미주공아파트 (입대의)","GGGGG"
"GGGGG","답십리청솔우성 (입대의)","GGGGG"
"GGGGG","대림한들아파트 (입대의)","GGGGG"
"GGGGG","평화제일아파트 (입대의)","GGGGG"
"GGGGG","원동현대아파트 (입대의)","GGGGG"
"GGGGG","봇들마을4단지 (입대의)","GGGGG"
"GGGGG","불광미성아파트 (입대의)","GGGGG"
"GGGGG","천천삼성래미안 (입대의)","GGGGG"
"GGGGG","동부올림픽타운 (입대의)","GGGGG"
"GGGGG","청계벽산아파트 (입대의)","GGGGG"
"GGGGG","광장청구아파트 (입대의)","GGGGG"
"GGGGG","현대2차아파트 (입대의)","GGGGG"
"GGGGG","방배우성아파트 (입대의)","GGGGG"
"GGGGG","무실주공3단지 (입대의)","GGGGG"
"GGGGG","수택주공아파트 (입대의)","GGGGG"
"GGGGG","대방대동아파트 (입대의)","GGGGG"
"GGGGG","풍호우성아파트 (입대의)","GGGGG"
"GGGGG","오산청구아파트 (입대의)","GGGGG"
"GGGGG","호수공원아파트 (입대의)","GGGGG"
"GGGGG","침산쌍용아파트 (입대의)","GGGGG"
"GGGGG","철산한신아파트 (입대의)","GGGGG"
"GGGGG","김제위드아파트 (입대의)","GGGGG"
"GGGGG","벽산라이브파크 (입대의)","GGGGG"
