"id","광역","시군구","인접지역","메모"
"1","경기","수원시","안산시/군포시/의왕시/용인시/화성시",""
"2","경기","성남시","과천시/의왕시/용인시/광주시/하남시",""
"3","경기","안양시","과천시/의왕시/군포시/안산시/시흥시/광명시",""
"4","경기","안산시","시흥시/안양시/군포시/의왕시/수원시/화성시",""
"5","경기","고양시","파주시/양주시/김포시",""
"6","경기","용인시","화성시/수원시/의왕시/성남시/광주시/이천시/안성시/평택시",""
"7","경기","부천시","광명시/시흥시",""
"8","경기","과천시","성남시/의왕시/안양시",""
"9","경기","광명시","부천시/시흥시/안양시",""
"10","경기","광주시","성남시/하남시/남양주시/양평군/여주시/이천시/용인시",""
"11","경기","구리시","남양주시",""
"12","경기","군포시","안산시/안양시/의왕시/수원시",""
"13","경기","김포시","고양시/파주시",""
"14","경기","남양주시","연천군/동두천시/파주시/고양시/의정부시/포천시/양주시",""
"15","경기","동두천시","포천시/양주시",""
"16","경기","시흥시","부천시/광명시/안양시/안산시",""
"17","경기","안성시","평택시/용인시/이천시",""
"18","경기","양주시","연천군/동두천시/파주시/고양시/의정부시/포천시/남양주시",""
"19","경기","여주시","양평군/광주시/이천시",""
"20","경기","오산시","화성시/평택시",""
"21","경기","의왕시","성남시/과천시/안양시/군포시/수원시/안산시/용인시",""
"22","경기","의정부시","양주시/포천시/남양주시",""
"23","경기","이천시","여주시/광주시/용인시/안성시",""
"24","경기","파주시","연천군/양주시/고양시/김포시",""
"25","경기","평택시","화성시/오산시/안성시/용인시",""
"26","경기","포천시","연천군/동두천시/양주시/의정부시/남양주시/가평군",""
"27","경기","화성시","안산시/수원시/오산시/용인시/평택시",""
"28","경기","가평군","포천시/남양주시/양평군",""
"29","경기","양평군","가평군/남양주시/광주시/여주시",""
"30","경기","연천군","포천시/동두천시/양주시/파주시",""
"31","충북","청주시","진천군/증평군/괴산군/보은군",""
"32","충북","제천시","단양군/충주시",""
"33","충북","충주시","제천시/괴산군/음성군",""
"34","충북","괴산군","충주시/음성군/증평군/청주시/보은군",""
"35","충북","단양군","제천시",""
"36","충북","보은군","청주시/괴산군/옥천군",""
"37","충북","영동군","옥천군",""
"38","충북","옥천군","보은군/영동군",""
"39","충북","음성군","충주시/괴산군/증평군/진천군",""
"40","충북","증평군","음성군/진천군/청주시/괴산군",""
"41","충북","진천군","음성군/증평군/청주시",""
"42","충남","천안시","아산시/공주시",""
"43","충남","공주시","천안시/아산시/예산군/청양군/부여군/계룡시/논산시",""
"44","충남","논산시","부여군/공주시/계룡시/금산군",""
"45","충남","보령시","태안군/홍성군/청양군/부여군/서천군",""
"46","충남","서산시","태안군/당진시/예산군/홍성군",""
"47","충남","아산시","당진시/예산군/공주시/천안시",""
"48","충남","계룡시","공주시/논산시",""
"49","충남","당진시","서산시/예산군/아산시",""
"50","충남","금산군","논산시",""
"51","충남","부여군","보령시/청양군/공주시/논산시/서천군",""
"52","충남","서천군","보령시/부여군",""
"53","충남","예산군","서산시/당진시/아산시/공주시/청양군/홍성군",""
"54","충남","청양군","보령시/홍성군/예산군/공주시/부여군",""
"55","충남","태안군","서산시/보령시",""
"56","충남","홍성군","서산시/예산군/청양군/보령시",""
"57","전남","목포시","신안군/무안군/영암군/해남군",""
"58","전남","여수시","고흥군/보성군/순천시/광양시",""
"59","전남","순천시","화순군/곡성군/구례군/광양시/여수시/보성군",""
"60","전남","나주시","영암군/무안군/함평군/화순군",""
"61","전남","광양시","여수시/순천시/구례군",""
"62","전남","강진군","완도군/해남군/영암군/장흥군",""
"63","전남","고흥군","완도군/장흥군/보성군/여수시",""
"64","전남","곡성군","담양군/화순군/순천시/구례군",""
"65","전남","구례군","곡성군/순천시/광양시",""
"66","전남","담양군","장성군/곡성군/화순군",""
"67","전남","무안군","신안군/목포시/영암군/나주시/함평군/영광군",""
"68","전남","보성군","장흥군/화순군/순천시/고흥군",""
"69","전남","신안군","무안군/목포시/해남군/진도군",""
"70","전남","영광군","함평군/무안군/장성군",""
"71","전남","영암군","해남군/목포시/무안군/나주시/화순군/장흥군/강진군",""
"72","전남","완도군","해남군/강진군/장흥군/고흥군",""
"73","전남","장성군","영광군/함평군/담양군",""
"74","전남","장흥군","강진군/영암군/화순군/보성군/고흥군/완도군",""
"75","전남","진도군","해남군/신안군",""
"76","전남","함평군","무안군/영광군/나주시/장성군",""
"77","전남","해남군","진도군/신안군/목포시/영암군/강진군/완도군",""
"78","전남","화순군","나주시/장흥군/보성군/순천시/곡성군/담양군",""
"79","경북","포항시","영덕군/청송군/영천시/경주시",""
"80","경북","경산시","영천시/청도군",""
"81","경북","경주시","청도군/영천시/포항시",""
"82","경북","구미시","칠곡군/군위군/의성군/상주시/김천시",""
"83","경북","김천시","상주시/구미시/칠곡군/성주군",""
"84","경북","문경시","상주시/예천군",""
"85","경북","상주시","문경시/예천군/의성군/구미시/김천시",""
"86","경북","안동시","의성군/예천군/영주시/봉화군/영양군/청송군",""
"87","경북","영주시","예천군/안동시/봉화군",""
"88","경북","영천시","군위군/청송군/포항시/경주시/경산시/청도군",""
"89","경북","고령군","성주군",""
"90","경북","봉화군","영주시/안동시/영양군/울진군",""
"91","경북","성주군","김천시/칠곡군/고령군",""
"92","경북","영덕군","울진군/영양군/청송군/포항시",""
"93","경북","영양군","울진군/봉화군/안동시/청송군/영덕군",""
"94","경북","예천군","문경시/상주시/의성군/안동시/영주시",""
"95","경북","울진군","봉화군/영양군/영덕군",""
"96","경북","의성군","구미시/상주시/예천군/안동시/청송군/군위군",""
"97","경북","청도군","경산시/영천시/경주시",""
"98","경북","청송군","의성군/군위군/영천시/포항시/영덕군/영양군/안동시",""
"99","경북","칠곡군","성주군/김천시/구미시/군위군",""
"100","경남","창원시","거제시/경남,고성군/진주시/함안군/창녕군/밀양시/김해시",""
"101","경남","거제시","통영시/고성군/창원시",""
"102","경남","김해시","창원시/밀양시/양산시",""
"103","경남","밀양시","창녕군/창원시/김해시/양산시",""
"104","경남","사천시","하동군/진주시/고성군/통영시/남해군",""
"105","경남","양산시","밀양시/김해시",""
"106","경남","진주시","하동군/산청군/의령군/함안군/창원시/고성군/사천시",""
"107","경남","통영시","남해군/사천시/고성군/거제시",""
"108","경남","거창군","함양군/산청군/합천군",""
"109","경남","남해군","하동군/사천시/통영시",""
"110","경남","산청군","함양군/거창군/합천군/의령군/진주시/하동군",""
"111","경남","의령군","산청군/합천군/창녕군/함안군/진주시",""
"112","경남","창녕군","합천군/의령군/함안군/창원시/밀양시",""
"113","경남","하동군","함양군/산청군/진주시/사천시/남해군",""
"114","경남","함안군","창원시/진주시/의령군/창녕군",""
"115","경남","함양군","거창군/산청군/하동군",""
"116","경남","합천군","거창군/산청군/의령군/창녕군",""
"117","강원","강릉시","양양군/홍천군/평창군/정선군/동해시",""
"118","강원","동해시","강릉시/정선군/삼척시",""
"119","강원","삼척시","태백시/정선군/동해시",""
"120","강원","속초시","고성군/인제군/양양군",""
"121","강원","원주시","횡성군/영월군",""
"122","강원","춘천시","화천군/양구군/인제군/홍천군",""
"123","강원","태백시","영월군/정선군/삼척시",""
"124","강원","양구군","철원군/화천군/인제군/춘천시",""
"125","강원","양양군","속초시/인제군/홍천군/강릉시",""
"126","강원","영월군","원주시/횡성군/평창군/정선군/태백시",""
"127","강원","인제군","양구군/춘천시/홍천군/양양군/속초시/고성군",""
"128","강원","정선군","평창군/강릉시/동해시/삼척시/태백시/영월군",""
"129","강원","철원군","화천군/양구군",""
"130","강원","평창군","횡성군/영월군/정선군/강릉시/홍천군",""
"131","강원","홍천군","춘천시/인제군/양양군/강릉시/평창군/횡성군",""
"132","강원","화천군","철원군/양구군/춘천시",""
"133","강원","횡성군","홍천군/평창군/영월군/원주시",""
