id,적격평가기준_세부 (매칭키),입찰방식,종목,공고확인,특수실적,등급공사,동일실적평가여부,원발주처,적격발주처,적격평가기준_세부,지역제한,추정가격기준,추정금액기준,기초금액기준,메모,편집
1,한국전력공사_3억미만,적격심사,전기,배전공가,,,,한국전력공사(배전공가),한국전력공사,한국전력공사(배전공가)_3억미만,,,,,,
2,한국전력공사_3억미만,적격심사,전기,수급지점개폐기,,,,한국전력공사(수급지점),한국전력공사,한국전력공사(수급지점)_3억미만,1,,,,,
3,한국전력공사_11억미만,적격심사,전기,수급지점개폐기,,,,한국전력공사(수급지점),한국전력공사,한국전력공사(수급지점)_11억미만,1,,,,,
4,한국전력공사_55억미만,적격심사,전기,수급지점개폐기,,,,한국전력공사(수급지점),한국전력공사,한국전력공사(수급지점)_55억미만,1,,,,,
5,한국전력공사_8천미만,적격심사,전기,순시위탁,,,,한국전력공사(배전),한국전력공사,한국전력공사(배전)_8천미만,1,1,,,,
6,한국전력공사_3억미만,적격심사,전기,순시위탁,,,,한국전력공사(배전),한국전력공사,한국전력공사(배전)_3억미만,1,1,,,,
7,한국전력공사_10억미만,적격심사,전기,순시위탁,,,,한국전력공사(배전),한국전력공사,한국전력공사(배전)_10억미만,1,1,,,,
8,한국전력공사_50억미만,적격심사,전기,순시위탁,,,,한국전력공사(배전),한국전력공사,한국전력공사(배전)_50억미만,1,1,,,,
9,한국전력공사_100억미만,적격심사,전기,순시위탁,,,,한국전력공사(배전),한국전력공사,한국전력공사(배전)_100억미만,1,1,,,,
10,한국전력공사_8천미만,적격심사,전기,수목전지,,,,한국전력공사(배전),한국전력공사,한국전력공사(배전)_8천미만,1,1,,,,
11,한국전력공사_3억미만,적격심사,전기,수목전지,,,,한국전력공사(배전),한국전력공사,한국전력공사(배전)_3억미만,1,1,,,,
12,한국전력공사_10억미만,적격심사,전기,수목전지,,,,한국전력공사(배전),한국전력공사,한국전력공사(배전)_10억미만,1,1,,,,
13,한국전력공사_50억미만,적격심사,전기,수목전지,,,,한국전력공사(배전),한국전력공사,한국전력공사(배전)_50억미만,1,1,,,,
14,한국전력공사_100억미만,적격심사,전기,수목전지,,,,한국전력공사(배전),한국전력공사,한국전력공사(배전)_100억미만,1,1,,,,
15,한국전력공사_8천미만,적격심사,전기,,"무정전_준공금액,배전사선_준공금액,배전지중_준공금액,배전지중_적격업체,무정전_적격업체",,,한국전력공사(배전),한국전력공사,한국전력공사(배전)_8천미만,1,1,,,,
16,한국전력공사_3억미만,적격심사,전기,,"무정전_준공금액,배전사선_준공금액,배전지중_준공금액,배전지중_적격업체,무정전_적격업체",,,한국전력공사(배전),한국전력공사,한국전력공사(배전)_3억미만,1,1,,,,
17,한국전력공사_10억미만,적격심사,전기,,"무정전_준공금액,배전사선_준공금액,배전지중_준공금액,배전지중_적격업체,무정전_적격업체",,,한국전력공사(배전),한국전력공사,한국전력공사(배전)_10억미만,1,1,,,,
18,한국전력공사_50억미만,적격심사,전기,,"무정전_준공금액,배전사선_준공금액,배전지중_준공금액,배전지중_적격업체,무정전_적격업체",,1,한국전력공사(배전),한국전력공사,한국전력공사(배전)_50억미만,1,1,,,,
19,한국전력공사_100억미만,적격심사,전기,,"무정전_준공금액,배전사선_준공금액,배전지중_준공금액,배전지중_적격업체,무정전_적격업체",,1,한국전력공사(배전),한국전력공사,한국전력공사(배전)_100억미만,1,1,,,,
20,행자부_별표-11,적격심사,,재난복구공사,,,,행자부(재난),행자부,행자부(재난)_별표-11,,,,,,
21,행자부_별표-10,적격심사,,재난복구공사,,,,행자부(재난),행자부,행자부(재난)_별표-10,,,,,,
22,행자부_별표-9,적격심사,,재난복구공사,,,,행자부(재난),행자부,행자부(재난)_별표-9,,,,,,
23,행자부_별표-8,적격심사,,재난복구공사,,,,행자부(재난),행자부,행자부(재난)_별표-8,,,,,,
24,행자부_별표-1,적격심사,,,,,1,행자부(동일실적),행자부,행자부(동일실적)_별표-1,,,,,,
25,행자부_유형-1,PQ,,유형-1,,,1,행자부(PQ),행자부,행자부(PQ)_유형-1,,,,,,
26,행자부_유형-1,PQ,토목,유형-1,,,1,행자부(PQ-토목),행자부,행자부(PQ-토목)_유형-1,,,,,,
27,행자부_유형-2,PQ,,유형-2,,,1,행자부(PQ),행자부,행자부(PQ)_유형-2,,,,,,
28,행자부_유형-2,PQ,토목,유형-2,,,1,행자부(PQ-토목),행자부,행자부(PQ-토목)_유형-2,,,,,,
29,행자부_유형-3,PQ,,유형-3,,,1,행자부(PQ),행자부,행자부(PQ)_유형-3,,,,,,
30,행자부_유형-3,PQ,토목,유형-3,,,1,행자부(PQ-토목),행자부,행자부(PQ-토목)_유형-3,,,,,,
31,행자부_제7절,PQ,,,,,1,행자부(PQ-적격),행자부,행자부(PQ-적격)_제7절,,,,,,
