id,원발주처,적격발주처,적격심사기준,시행일,일반건설 (원),전문건설 (원),기타건설 (원),적격평가기준_세부
1,한국철도공사(전차선),한국철도공사,별지-4,2026-03-12,,,300000000,
2,한국철도공사(전차선),한국철도공사,별지-3,2026-03-12,,,1000000000,
3,한국철도공사(전차선),한국철도공사,별지-3,2026-03-12,,,5000000000,
4,한국철도공사(전차선),한국철도공사,별지-2,2026-03-12,,,10000000000,
5,한국철도공사(전차선),한국철도공사,별지-1,2026-03-12,,,30000000000,
6,한국철도공사(고속철도-종합신호),한국철도공사,별지-4,2026-01-31,,,200000000,
7,한국철도공사(일반철도-종합신호),한국철도공사,별지-4,2026-01-31,,,200000000,
8,한국철도공사(고속철도-연동장치),한국철도공사,별지-4,2026-01-31,,,200000000,
9,한국철도공사(일반철도-연동장치),한국철도공사,별지-4,2026-01-31,,,200000000,
10,한국철도공사(고속철도-자동신호),한국철도공사,별지-4,2026-01-31,,,200000000,
11,한국철도공사(일반철도-자동신호),한국철도공사,별지-4,2026-01-31,,,200000000,
12,한국철도공사(고속철도-종합신호),한국철도공사,별지-4,2026-01-31,,,300000000,
13,한국철도공사(일반철도-종합신호),한국철도공사,별지-4,2026-01-31,,,300000000,
14,한국철도공사(고속철도-연동장치),한국철도공사,별지-4,2026-01-31,,,300000000,
15,한국철도공사(일반철도-연동장치),한국철도공사,별지-4,2026-01-31,,,300000000,
16,한국철도공사(고속철도-자동신호),한국철도공사,별지-4,2026-01-31,,,300000000,
17,한국철도공사(일반철도-자동신호),한국철도공사,별지-4,2026-01-31,,,300000000,
18,한국철도공사(고속철도-종합신호),한국철도공사,별지-3,2026-01-31,,,1000000000,
19,한국철도공사(일반철도-종합신호),한국철도공사,별지-3,2026-01-31,,,1000000000,
20,한국철도공사(고속철도-연동장치),한국철도공사,별지-3,2026-01-31,,,1000000000,
21,한국철도공사(일반철도-연동장치),한국철도공사,별지-3,2026-01-31,,,1000000000,
22,한국철도공사(고속철도-자동신호),한국철도공사,별지-3,2026-01-31,,,1000000000,
23,한국철도공사(일반철도-자동신호),한국철도공사,별지-3,2026-01-31,,,1000000000,
24,한국철도공사(고속철도-종합신호),한국철도공사,별지-3,2026-01-31,,,5000000000,
25,한국철도공사(일반철도-종합신호),한국철도공사,별지-3,2026-01-31,,,5000000000,
26,한국철도공사(고속철도-연동장치),한국철도공사,별지-3,2026-01-31,,,5000000000,
27,한국철도공사(일반철도-연동장치),한국철도공사,별지-3,2026-01-31,,,5000000000,
28,한국철도공사(고속철도-자동신호),한국철도공사,별지-3,2026-01-31,,,5000000000,
29,한국철도공사(일반철도-자동신호),한국철도공사,별지-3,2026-01-31,,,5000000000,
30,한국철도공사(고속철도-종합신호),한국철도공사,별지-2,2026-01-31,,,10000000000,
31,한국철도공사(일반철도-종합신호),한국철도공사,별지-2,2026-01-31,,,10000000000,
32,한국철도공사(고속철도-연동장치),한국철도공사,별지-2,2026-01-31,,,10000000000,
33,한국철도공사(일반철도-연동장치),한국철도공사,별지-2,2026-01-31,,,10000000000,
34,한국철도공사(고속철도-자동신호),한국철도공사,별지-2,2026-01-31,,,10000000000,
35,한국철도공사(일반철도-자동신호),한국철도공사,별지-2,2026-01-31,,,10000000000,
36,한국철도공사(간이종심제),한국철도공사,별표-1-5,2026-01-31,,,30000000000,
37,한국전력공사,한국전력공사,8천미만,2026-01-31,,,80000000,
38,한국전력공사,한국전력공사,2억미만,2026-01-31,,200000000,,
39,한국전력공사,한국전력공사,2억미만,2026-01-31,200000000,,,
40,한국전력공사,한국전력공사,3억미만,2026-01-31,,,300000000,
41,한국전력공사,한국전력공사,3억미만,2026-01-31,,300000000,,
42,한국전력공사,한국전력공사,3억미만,2026-01-31,300000000,,,
43,한국전력공사,한국전력공사,10억미만,2026-01-31,,1000000000,,
44,한국전력공사,한국전력공사,10억미만,2026-01-31,1000000000,,,
45,한국전력공사,한국전력공사,10억미만,2026-01-31,,,1000000000,
