id,원본 (등록증 표기),일반_기타_전문,세부유형,업종,주력업종,상위업종,대체업종,길이,상호진출_상대종목,단독평가_제외
1,산림자원의 조성 및 관리에 관한 법률에 따른 산림사업법인(숲가꾸기 및 병해충방제)면허,기타건설,확장,산림사업_숲길조성관리,산림사업_숲길조성관리,,,47,,
2,산림자원의 조성 및 관리에 관한 법률에 따른 산림사업법인,기타건설,확장,산림사업,산림사업,,,31,,
3,일반소방시설공사업(기계)(업종코드:0038),기타건설,표준,기계소방,기계소방,전문소방,,24,,
4,일반소방시설공사업(전기)(업종코드:0039),기타건설,표준,전기소방,전기소방,전문소방,,24,,
5,산림사업법인(숲가꾸기 및 병해충 방제),기타건설,확장,산림사업_숲길조성관리,산림사업_숲길조성관리,,,21,,
6,산림사업법인(산림경영계획 및 산림조사),기타건설,확장,산림사업_산림경영계획및산림조사,산림사업_산림경영계획및산림조사,,,21,,
7,전문소방시설공사업(업종코드: 0040),기타건설,표준,전문소방,전문소방,,,21,,
8,일반소방시설공사업(기계 및 전기분야),기타건설,표준,전문소방,전문소방,,,20,,
9,산림사업법인(숲가꾸기 및 병해충방제),기타건설,확장,산림사업_숲가꾸기및병해충방제,산림사업_숲가꾸기및병해충방제,,,20,,
10,금속창호 · 지붕 · 건축물조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,20,,
11,산림사업법인(도시숲 등의 조성·관리),기타건설,확장,산림사업_도시숲등조성,산림사업_도시숲등조성,,,20,,
12,"산림사업법인(도시숲 등 조성, 관리)",기타건설,확장,산림사업_도시숲등조성,산림사업_도시숲등조성,,,20,,
13,산림조합법에 의하여 설립된 산림조합,기타건설,확장,산림사업,산림사업,,,19,,
14,금속·창호· 지붕·건축물 조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,19,,
15,금속구조물⦁창호⦁지붕건축물조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,19,,
16,금속·창호·지붕·건축물 조립 공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,19,,
17,금속· 창호·지붕·건축물 조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,19,,
18,금속‧ 창호‧지붕‧건축물 조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,19,,
19,"산림사업법인(도시숲등 조성, 관리)",기타건설,확장,산림사업_도시숲등조성,산림사업_도시숲등조성,,,19,,
20,"금속,창호,지붕,건축물 조립공사업",전문건설,표준,금속창호지붕,금속창호지붕,,,18,,
21,금속.창호.지붕.건축물 조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,18,,
22,금속⋅창호⋅지붕⋅건축물 조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,18,,
23,금속·창호·지붕·건축물 조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,18,,
24,금속ㆍ창호ㆍ지붕ㆍ건축물 조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,18,,
25,금속•창호•지붕•건축물 조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,18,,
26,금속‧창호‧지붕‧건축물 조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,18,,
27,금속・창호・지붕・건축물 조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,18,,
28,금속․창호․지붕․건축물 조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,18,,
29,금속·창호·지붕·건축물·조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,18,,
30,"금속,창호ㆍ지붕,건축물 조립공사업",전문건설,표준,금속창호지붕,금속창호지붕,,,18,,
31,금속·창호·지붕· 건축물조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,18,,
32,금속·창호·지붕·건축물조립 공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,18,,
33,금속구조물⦁창호⦁지붕건축조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,18,,
34,금속·창호··지붕·건축물조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,18,,
35,금속‧ 창호‧지붕‧건축물조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,18,,
36,금속창호 · 지붕건출묵 조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,18,,
37,"포장공사, 보링·그라우팅·파일공사",전문건설,표준,지반조성포장,지반조성포장,,,18,,
38,산림조합법에 의한 산림조합지역조합,기타건설,확장,산림조합_지역조합,산림조합_지역조합,,,18,,
39,"금속,창호,지붕,건축물 조립공사",전문건설,표준,금속창호지붕,금속창호지붕,,,17,,
40,"금속,창호,지붕,건축물조립공사업",전문건설,표준,금속창호지붕,금속창호지붕,,,17,,
41,금속.창호.지붕.건축물 조립공사,전문건설,표준,금속창호지붕,금속창호지붕,,,17,,
42,금속.창호.지붕.건축물조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,17,,
43,금속․창호․지붕․건축물조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,17,,
44,금속·창호․지붕·건축물조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,17,,
45,금속·창호·지붕·건축물 조립공사,전문건설,표준,금속창호지붕,금속창호지붕,,,17,,
46,금속·창호·지붕·건축물조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,17,,
47,금속·창호·지붕건축물 조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,17,,
48,금속⦁창호⦁지붕⦁건축물조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,17,,
49,"금속창호,지붕,건축물 조립공사업",전문건설,표준,금속창호지붕,금속창호지붕,,,17,,
50,금속창호.지붕.건축물 조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,17,,
51,금속창호·지붕·건축물 조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,17,,
52,금속‧창호‧지붕‧건축물조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,17,,
53,금속창호ㆍ지붕ㆍ건축물 조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,17,,
54,금속ㆍ창호ㆍ지붕 건축물조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,17,,
55,금속ㆍ창호ㆍ지붕ㆍ건축물 조립공사,전문건설,표준,금속창호지붕,금속창호지붕,,,17,,
56,금속ㆍ창호ㆍ지붕ㆍ건축물조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,17,,
57,금속ㆍ창호ㆍ지붕ㆍ건출물조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,17,,
58,금속·창호ㆍ지붕·건축물조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,17,,
59,금속･창호･지붕･건축물조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,17,,
60,금속‧창호․지붕․건축물조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,17,,
61,금속·창호·지붕·건축물조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,17,,
62,"금속창호, 지붕건축물 조립공사업",전문건설,표준,금속창호지붕,금속창호지붕,,,17,,
63,금속구조물 · 창호 · 온실공사,전문건설,표준,금속창호지붕,금속구조물,,,17,,
64,산림사업법인(연휴양림 등 조성),기타건설,확장,산림사업_자연휴양림등조성,산림사업_자연휴양림등조성,,,17,,
65,산림사업법인(자연휴양림등 조성),기타건설,확장,산림사업_자연휴양림등조성,산림사업_자연휴양림등조성,,,17,,
66,"산림사업법인(숲길 조성,관리)",기타건설,확장,산림사업_숲길조성관리,산림사업_숲길조성관리,,,16,,
67,산림사업법인숲가꾸기및병해충방제,기타건설,확장,산림사업_숲길조성관리,산림사업_숲길조성관리,,,16,,
68,산림사업법인(숲길 조성·관리),기타건설,확장,산림사업_숲길조성관리,산림사업_숲길조성관리,,,16,,
69,일반소방공사업(기계 및 전기),기타건설,표준,전문소방,전문소방,,,16,,
70,"금속,창호,지붕,건축물조립공사",전문건설,표준,금속창호지붕,금속창호지붕,,,16,,
71,금속.창호.지붕.건축물조립공사,전문건설,표준,금속창호지붕,금속창호지붕,,,16,,
72,금속·창호·지붕·건축물조립공사,전문건설,표준,금속창호지붕,금속창호지붕,,,16,,
73,금속구조물·지붕건축물조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,16,,
74,"금속창호,지붕,건축물 조립공사",전문건설,표준,금속창호지붕,금속창호지붕,,,16,,
75,"금속창호,지붕건축물 조립공사업",전문건설,표준,금속창호지붕,금속창호지붕,,,16,,
76,"금속창호,지붕건축물,조립공사업",전문건설,표준,금속창호지붕,금속창호지붕,,,16,,
77,금속창호.지붕.건축물 조립공사,전문건설,표준,금속창호지붕,금속창호지붕,,,16,,
78,금속창호․지붕건축물 조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,16,,
79,금속창호.지붕건축물 조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,16,,
80,금속창호·지붕·건축물 조립공사,전문건설,표준,금속창호지붕,금속창호지붕,,,16,,
81,금속창호·지붕·건축물조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,16,,
82,금속창호·지붕건축물 조립공사업,전문건설,표준,금속창호지붕,금속창호지붕,,,16,,
