ID,광역시/도-전처리전,광역시/도-전처리후,시군구-전처리전,시군구-전처리후,하위구-전처리전,하위구-전처리후,시군구-홈페이지용,인접지역
1,서울특별시/서울,서울,강남구,강남구,,,,
2,서울특별시/서울,서울,강동구,강동구,,,,
3,서울특별시/서울,서울,강북구,강북구,,,,
4,서울특별시/서울,서울,강서구,강서구,,,,
5,서울특별시/서울,서울,관악구,관악구,,,,
6,서울특별시/서울,서울,광진구,광진구,,,,
7,서울특별시/서울,서울,구로구,구로구,,,,
8,서울특별시/서울,서울,금천구,금천구,,,,
9,서울특별시/서울,서울,노원구,노원구,,,,
10,서울특별시/서울,서울,도봉구,도봉구,,,,
11,서울특별시/서울,서울,동대문구,동대문구,,,,
12,서울특별시/서울,서울,동작구,동작구,,,,
13,서울특별시/서울,서울,마포구,마포구,,,,
14,서울특별시/서울,서울,서대문구,서대문구,,,,
15,서울특별시/서울,서울,서초구,서초구,,,,
16,서울특별시/서울,서울,성동구,성동구,,,,
17,서울특별시/서울,서울,성북구,성북구,,,,
18,서울특별시/서울,서울,송파구,송파구,,,,
19,서울특별시/서울,서울,양천구,양천구,,,,
20,서울특별시/서울,서울,영등포구,영등포구,,,,
21,서울특별시/서울,서울,용산구,용산구,,,,
22,서울특별시/서울,서울,은평구,은평구,,,,
23,서울특별시/서울,서울,종로구,종로구,,,,
24,서울특별시/서울,서울,중구,중구,,,,
25,서울특별시/서울,서울,중랑구,중랑구,,,,
26,부산광역시/부산,부산,강서구,강서구,,,,
27,부산광역시/부산,부산,금정구,금정구,,,,
28,부산광역시/부산,부산,기장군,기장군,,,,
29,부산광역시/부산,부산,남구,남구,,,,
30,부산광역시/부산,부산,동구,동구,,,,
31,부산광역시/부산,부산,동래구,동래구,,,,
32,부산광역시/부산,부산,진구,진구,,,,
33,부산광역시/부산,부산,북구,북구,,,,
34,부산광역시/부산,부산,사상구,사상구,,,,
35,부산광역시/부산,부산,사하구,사하구,,,,
36,부산광역시/부산,부산,서구,서구,,,,
37,부산광역시/부산,부산,수영구,수영구,,,,
