id,종목,발주처,입찰방식,대분류,결과값,상위실적,검색키워드,제외키워드,메모,내용입력필요
1,건축,PQ,,건축물,공연장[3000M]_준공금액,,,,,1
2,건축,PQ,,건축물,관람장[3000M]_준공금액,,,,,1
3,건축,PQ,,건축물,관람집회시설_준공금액,"공연장[3000M]_준공금액
집회장[3000M]_준공금…",,,,1
4,건축,PQ,,건축물,쓰레기소각로[30T]_준공금액,,,,,1
5,건축,PQ,,건축물,운동장[3000M]_준공금액,,,,,1
6,건축,PQ,,건축물,운동장[3000M]_준공금액,,,,,1
7,건축,PQ,,건축물,전시시설[3000M]_준공금액,,,,,1
8,건축,PQ,,건축물,집회장[3000M]_준공금액,,,,,1
9,건축,PQ,,건축물,체육관[3000M]_준공금액,,,,,1
10,건축,PQ,,건축물,폐수고도처리시설[5000T]_준공금액,폐수종말처리장_준공금액,,,,1
11,건축,PQ,,건축물,폐수종말처리장[3000T]_준공금액,,,,,1
12,건축,PQ,,건축물,하수고도처리시설[5000T]_준공금액,하수종말처리장[3000T]_준공금액,,,,1
13,건축,PQ,,건축물,하수종말처리장[3000T]_준공금액,,,,,1
14,건축,공통,,건축물,건축물[건축]_준공금액,,,,,1
15,건축,공통,,건축물,공공기관[건축]_준공금액,,,,,1
16,건축,공통,,건축물,공동주택[건축]_준공금액,,,,,1
17,건축,공통,,건축물,공동주택[건축]_준공세대,,,,,
18,건축,공통,,건축물,관람집회시설[건축]_준공면적,,,,,1
19,건축,공통,,건축물,교육연구시설[건축]_준공금액,,,,,1
20,건축,공통,,건축물,교육연구시설[건축]_준공면적,,,,,1
21,건축,공통,,건축물,단일실적[건축]_준공금액,,,,,1
22,건축,공통,,건축물,동물이용생활안전2등급[건축]_준공금액,,,,,1
23,건축,공통,,건축물,비거주시설_준공금액,,,,,1
24,건축,공통,,건축물,비거주시설_준공면적,,,,,1
25,건축,공통,,건축물,수영장[건축]_준공금액,,,,,1
26,건축,공통,,건축물,수영장[건축]_준공면적,,,,,1
27,건축,공통,,건축물,업무시설[건축]_준공금액,,,,,1
28,건축,공통,,건축물,업무시설[건축]_준공면적,,,,,1
29,건축,공통,,건축물,운동시설[수영장]_준공면적,,,,,1
30,건축,공통,,건축물,운수시설[건축]_준공금액,,,,,1
31,건축,공통,,건축물,운수시설[건축]_준공금액,,,,,1
32,건축,공통,,건축물,운수시설[건축]_준공면적,,,,,1
