id,지역본부,사업소명,인접 사업소
1,서울,서울본부직할,"서대문은평지사, 마포용산지사, 강북성북지사, 동대문중랑지사, 광진성동지사, 서초지사, 관악동작지사"
2,서울,서초지사,"강남지사, 강동송파지사"
3,서울,강남지사,"서초지사, 강동송파지사"
4,서울,강동송파지사,강남지사
5,서울,관악동작지사,"구로금천지사, 남서울본부직할, 서초지사, 마포용산지사"
6,서울,남서울본부직할,"강서양천지사, 구로금천지사, 관악동작지사, 마포용산지사"
7,서울,구로금천지사,"광명지사, 안양군포의왕지사, 관악동작지사"
8,서울,강서양천지사,"남서울본부직할, 구로금천지사, 마포용산지사"
9,서울,마포용산지사,"서울본부 직할, 서대문은평지사, 광진성동지사, 남서울본부 직할, 강서양천지사, 관악동작지사"
10,서울,서대문은평지사,"마포용산지사, 서울본부직할"
11,서울,강북성북지사,"노원도봉지사, 동대문중랑지사, 서울본부직할"
12,서울,노원도봉지사,"강북성북지사, 동대문중랑지사"
13,서울,동대문중랑지사,"노원도봉지사, 강북성북지사, 서울본부직할, 광진성동지사"
14,서울,광진성동지사,"동대문중랑지사, 서울본부직할, 마포용산지사, 강남지사, 강동송파지사"
15,경기,경기북부본부직할,"고양지사, 파주지사, 동두천지사, 포천지사, 구리지사"
16,경기,고양지사,"파주지사, 경기북부본부직할,김포지사"
17,경기,파주지사,"연천지사, 경기북부본부직할, 고양지사"
18,경기,연천지사,"경기북부본부 직할, 동두천지사, 포천지사, 파주지사"
19,경기,동두천지사,"연천지사, 경기북부본부직할, 포천지사,파주지사"
20,경기,포천지사,"연천지사, 동두천지사, 경기북부본부직할, 남양주지사, 가평지사"
21,경기,남양주지사,"구리지사, 포천지사, 가평지사, 양평지사, 광주지사, 하남지사"
22,경기,구리지사,남양주지사
23,경기,가평지사,"포천지사, 남양주지사, 양평지사"
24,경기,양평지사,"남양주지사, 가평지사,여주지사,광주지사"
25,경기,경기본부직할,"안양군포의왕지사, 성남지사, 서용인지사, 서수원지사, 오산지사"
26,경기,안양군포의왕지사,"광명지사, 안산지사, 서수원지사, 경기본부직할, 성남지사, 서용인지사"
27,경기,성남지사,"하남지사, 광주지사, 서용인지사, 안양군포의왕지사"
28,경기,서수원지사,"안산지사, 안양군포의왕지사, 경기본부직할,화성지사"
29,경기,서용인지사,"성남지사, 경기본부직할, 안양군포의왕지사, 오산지사, 동용인지사, 광주지사"
30,경기,화성지사,"안산지사, 서수원지사, 오산지사, 평택지사, 서평택지사,경기본부직할, 서용인지사, 동용인지사"
31,경기,광주지사,"하남지사, 성남지사, 서용인지사, 동용인지사, 이천지사,여주지사"
32,경기,오산지사,"평택지사, 화성지사"
33,경기,평택지사,"서평택지사, 화성지사, 오산지사, 안성지사, 동용인지사"
34,경기,동용인지사,"광주지사, 서용인지사, 화성지사, 평택지사, 안성지사, 이천지사"
35,경기,안성지사,"평택지사, 동용인지사, 이천지사"
36,경기,이천지사,"광주지사, 동용인지사, 안성지사, 여주지사"
37,경기,하남지사,"성남지사, 광주지사"
38,경기,광명지사,안양군포의왕지사
39,경기,안산지사,"안양군포의왕지사, 서수원지사, 화성지사"
40,경기,서평택지사,"화성지사, 평택지사"
41,경기,여주지사,"양평지사, 광주지사, 이천지사"
42,인천,인천본부직할,"서인천지사, 남인천지사"
43,인천,서인천지사,"김포지사, 인천본부직할, 제물포지사, 영종지사"
44,인천,제물포지사,"남인천지사, 서인천지사, 백령지사, 직할도서[대연평, 소연평, 덕적, 소야, 문갑, 자월, 승봉, 대이작, 소이작, 울도]"
45,인천,남인천지사,"제물포지사, 인천본부직할, 서인천지사, 영종지사"
46,인천,부천지사,"인천본부직할, 시흥지사"
47,인천,시흥지사,"부천지사, 광명지사, 안산지사, 안양군포의왕지사"
48,인천,김포지사,고양지사
49,인천,강화지사,김포지사
50,인천,영종지사,"서인천지사, 제물포지사"
51,인천,백령지사,백령지사
52,강원,강원본부직할,"양구지사, 화천지사, 홍천지사,인제지사"
53,강원,홍천지사,"강원본부직할, 횡성지사, 인제지사, 양양지사, 강릉지사"
54,강원,평창지사,"홍천지사, 강릉지사, 정선지사, 영월지사, 횡성지사"
55,강원,인제지사,"양구지사, 홍천지사, 강원본부직할, 양양지사, 속초고성지사"
56,강원,정선지사,"평창지사, 강릉지사, 동해지사, 삼척지사, 태백지사, 영월지사"
57,강원,강릉지사,"양양지사, 홍천지사, 횡성지사, 평창지사, 정선지사, 동해지사, 태백지사"
58,강원,동해지사,"강릉지사, 정선지사, 삼척지사"
59,강원,삼척지사,"동해지사, 정선지사, 태백지사"
60,강원,원주지사,"횡성지사, 영월지사"
61,강원,영월지사,"원주지사, 횡성지사, 평창지사, 정선지사, 태백지사"
62,강원,횡성지사,"홍천지사, 평창지사, 영월지사, 원주지사"
63,강원,속초고성지사,"인제지사, 양양지사"
64,강원,양양지사,"속초고성지사, 인제지사, 홍천지사, 강릉지사"
65,강원,태백지사,"영월지사, 정선지사, 삼척지사"
66,강원,화천지사,"철원지사, 강원본부직할, 양구지사"
67,강원,철원지사,화천지사
68,강원,양구지사,"강원본부직할, 인제지사, 화천지사"
69,충북,충북본부직할,동청주지사
70,충북,진천지사,"음성지사, 증평괴산지사, 동청주지사"
71,충북,음성지사,"진천지사, 충주지사, 증평괴산지사"
72,충북,충주지사,"음성지사, 제천지사, 증평괴산지사"
73,충북,제천지사,"충주지사, 단양지사"
74,충북,단양지사,제천지사
